gid,altura,lugares_disponibles,garage,st_asgeojson
29,700,16,3,"{""type"":""LineString"",""coordinates"":[[-58.8315929546929,-27.4658458303413],[-58.831711026053,-27.4668362225946]]}"
172,1000,15,3,"{""type"":""LineString"",""coordinates"":[[-58.8319868837028,-27.4691695810392],[-58.8320974652645,-27.4701920227366]]}"
135,1300,17,5,"{""type"":""LineString"",""coordinates"":[[-58.832361036735,-27.4725723025178],[-58.8324705167739,-27.4735781538189]]}"
83,1200,17,4,"{""type"":""LineString"",""coordinates"":[[-58.8349162648665,-27.4621653935154],[-58.8338053491954,-27.4623113234244]]}"
174,600,13,2,"{""type"":""LineString"",""coordinates"":[[-58.8301743350795,-27.4649644414968],[-58.830311670139,-27.4658592296166]]}"
58,500,18,6,"{""type"":""LineString"",""coordinates"":[[-58.8300646327579,-27.4636836728123],[-58.8301531439218,-27.4648619214542]]}"
43,600,14,4,"{""type"":""LineString"",""coordinates"":[[-58.8314662815107,-27.4648152960441],[-58.8315779165852,-27.4657371205926]]}"
139,1300,10,6,"{""type"":""LineString"",""coordinates"":[[-58.8310772995215,-27.4727246675887],[-58.8311885772511,-27.473700804096]]}"
61,400,12,2,"{""type"":""LineString"",""coordinates"":[[-58.8323761783718,-27.4624882455681],[-58.832469375504,-27.4633355885623]]}"
202,,,,"{""type"":""LineString"",""coordinates"":[[-58.8310924085291,-27.461329540476],[-58.8312092079778,-27.4624485405052]]}"
114,801,18,5,"{""type"":""LineString"",""coordinates"":[[-58.8251128609076,-27.4674301584474],[-58.8252500398584,-27.4685576481766]]}"
140,1700,20,,"{""type"":""LineString"",""coordinates"":[[-58.8292617813826,-27.4694356627745],[-58.8280638074247,-27.4695529403887]]}"
60,1900,11,1,"{""type"":""LineString"",""coordinates"":[[-58.8266893451974,-27.4696903037862],[-58.8255346768473,-27.4698034934187]]}"
53,1800,16,4,"{""type"":""LineString"",""coordinates"":[[-58.8279541999998,-27.4695635],[-58.8268260281777,-27.4696760184747]]}"
120,2000,19,3,"{""type"":""LineString"",""coordinates"":[[-58.8253913695652,-27.469817816861],[-58.8242584493889,-27.4699350862148]]}"
92,2100,19,1,"{""type"":""LineString"",""coordinates"":[[-58.8241232654225,-27.4699490004872],[-58.822993458041,-27.4700646658322]]}"
112,1700,18,6,"{""type"":""LineString"",""coordinates"":[[-58.8290327351009,-27.4671209897437],[-58.8278697765247,-27.4671924878178]]}"
179,1901,19,3,"{""type"":""LineString"",""coordinates"":[[-58.8265380189649,-27.4684520028986],[-58.8253796824727,-27.468553794243]]}"
10,800,7,,"{""type"":""LineString"",""coordinates"":[[-58.836696576119,-27.4665137619971],[-58.8367449150766,-27.4670378830984]]}"
11,1100,13,,"{""type"":""LineString"",""coordinates"":[[-58.8369924479289,-27.4709718474036],[-58.8360334309785,-27.4710605215476]]}"
88,1601,,,"{""type"":""LineString"",""coordinates"":[[-58.8309234795077,-27.4726162219552],[-58.8297777788785,-27.47271732428]]}"
82,800,13,,"{""type"":""LineString"",""coordinates"":[[-58.8317256595937,-27.466922535651],[-58.8318472596003,-27.4679938589473]]}"
201,,21,,"{""type"":""LineString"",""coordinates"":[[-58.8301167999998,-27.4613124],[-58.8310016999998,-27.4625092]]}"
72,300,14,3,"{""type"":""LineString"",""coordinates"":[[-58.8337299851557,-27.4612606848272],[-58.8337969486395,-27.4622061475156]]}"
158,1701,16,8,"{""type"":""LineString"",""coordinates"":[[-58.8289092277675,-27.4659800864113],[-58.827638944686,-27.4660894634044]]}"
62,901,16,5,"{""type"":""LineString"",""coordinates"":[[-58.8252649592048,-27.4686820326981],[-58.8253751236461,-27.4696976139505]]}"
64,1600,22,4,"{""type"":""LineString"",""coordinates"":[[-58.8300428277779,-27.4649747715318],[-58.8289090769539,-27.4650847357226]]}"
94,601,17,5,"{""type"":""LineString"",""coordinates"":[[-58.8287794438235,-27.465099654263],[-58.8289092277675,-27.4659800864113]]}"
189,1700,,,"{""type"":""LineString"",""coordinates"":[[-58.8297616848643,-27.4739614123186],[-58.8285790758121,-27.4740723893858]]}"
188,,,,"{""type"":""LineString"",""coordinates"":[[-58.8283314977808,-27.472988480369],[-58.8284277783902,-27.4739566716455]]}"
197,,,,"{""type"":""LineString"",""coordinates"":[[-58.8299027999998,-27.4613305],[-58.8300048999998,-27.4625998]]}"
184,,,,"{""type"":""LineString"",""coordinates"":[[-58.8418632824178,-27.4694135502858],[-58.841935472892,-27.47038153493]]}"
186,,,,"{""type"":""LineString"",""coordinates"":[[-58.8419532583553,-27.4705328366283],[-58.8420153156582,-27.4715439236188]]}"
199,,,,"{""type"":""LineString"",""coordinates"":[[-58.8311178999998,-27.4626333],[-58.8299711999998,-27.4627583]]}"
198,,,,"{""type"":""LineString"",""coordinates"":[[-58.8299537999998,-27.4627916],[-58.8300429999998,-27.4635193]]}"
203,,,,"{""type"":""LineString"",""coordinates"":[[-58.8268591999998,-27.46519],[-58.8263274999998,-27.4652246]]}"
204,,,,"{""type"":""LineString"",""coordinates"":[[-58.8274429999998,-27.465163],[-58.8269287999998,-27.4651892999999]]}"
205,,,,"{""type"":""LineString"",""coordinates"":[[-58.8287896999998,-27.4650731],[-58.8275800999998,-27.4651738]]}"
206,,,,"{""type"":""LineString"",""coordinates"":[[-58.8264395999998,-27.4673087],[-58.8252827999998,-27.4673824]]}"
207,,,,"{""type"":""LineString"",""coordinates"":[[-58.8277257999998,-27.4672111],[-58.8265802999998,-27.4672798]]}"
208,,,,"{""type"":""LineString"",""coordinates"":[[-58.8276632999998,-27.4662299],[-58.8277521999998,-27.4670986]]}"
209,,,,"{""type"":""LineString"",""coordinates"":[[-58.8274513999998,-27.4651886],[-58.8275049999998,-27.4660837]]}"
210,,,,"{""type"":""LineString"",""coordinates"":[[-58.8263221999998,-27.4652466],[-58.8264200999998,-27.4661972]]}"
211,,,,"{""type"":""LineString"",""coordinates"":[[-58.8264485999998,-27.4663228],[-58.8265434999998,-27.4671866]]}"
213,,,,"{""type"":""LineString"",""coordinates"":[[-58.8250198999998,-27.4664764999999],[-58.8251272999998,-27.4672774]]}"
